ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,2.AS,KAN+2.AS
Filip Lesniak,Wisła Płock,1,0,1,0,0,0,3,4
Błażej Augustyn,Jagiellonia,1,0,1,0,0,1,0,1
Serafin Szota,Wisła Kraków,1,0,1,1,0,0,0,1
Kacper Skibicki,Legia Warszawa,0,1,1,0,1,0,1,2
Tomasz Midzierski,Górnik Łęczna,0,1,1,0,0,0,0,1
Bozidar Czorbadżijski,Stal Mielec,1,0,1,0,0,0,0,1
Zoran Arsenić,Raków Częstochowa,1,0,1,0,0,0,1,2
Alan Czerwiński,Lech Poznań,1,0,1,0,0,0,3,4
Kamil Kruk,Zagłębie Lubin,1,0,1,0,0,0,0,1
Lorenco Simić,Zagłębie Lubin,1,0,1,0,0,0,0,1
Adrian Lis,Warta Poznań,1,0,1,0,0,0,1,2
Przemysław Wiśniewski,Górnik Zabrze,0,1,1,0,0,0,0,1
Yuri Ribeiro,Legia Warszawa,0,1,1,0,0,0,0,1
Wiktor Biedrzycki,Bruk-Bet,1,0,1,0,0,0,1,2
Przemysław Mystkowski,Jagiellonia,1,0,1,1,0,0,1,2
Michał Nalepa II,Lechia Gdańsk,1,0,1,0,0,0,0,1
Kristoffer Velde,Lech Poznań,0,1,1,0,0,0,1,2
Mariusz Malec,Pogoń Szczecin,0,1,1,0,0,0,0,1
Filip Koperski,Lechia Gdańsk,1,0,1,0,0,1,0,1
Dominik Steczyk,Stal Mielec,1,0,1,0,0,1,1,2
Ariel Mosór,Piast Gliwice,1,0,1,0,0,1,0,1
Tihomir Kostadinov,Piast Gliwice,0,1,1,0,0,0,0,1
Christian Clemens,Lechia Gdańsk,1,0,1,0,0,1,1,2
Daniel Łukasik,Radomiak Radom,0,1,1,0,0,0,0,1
Adam Chrzanowski,Wisła Płock,0,1,1,0,0,0,0,1
Dariusz Stalmach,Górnik Zabrze,0,1,1,0,1,0,1,2
Nikola Kuveljić,Wisła Kraków,1,0,1,1,0,0,0,1
Aleksander Pawlak,Wisła Płock,1,0,1,0,0,1,1,2
Tomasz Kędziora,Lech Poznań,1,0,1,0,0,1,1,2
Bartłomiej Wdowik,Jagiellonia,0,1,1,0,1,0,1,2
Igor Sapała,Raków Częstochowa,0,1,1,0,1,0,0,1
David Stec,Lechia Gdańsk,0,1,1,0,0,0,0,1
Andrij Dombrowśkyj,Bruk-Bet,0,1,1,0,0,0,1,2
Sebastian Ring,Wisła Kraków,1,0,1,0,0,0,0,1
Arkadiusz Kasperkiewicz,Stal Mielec,1,0,1,0,0,0,0,1
Lindsay Rose,Legia Warszawa,0,1,1,0,0,0,0,1
Adrian Dziedzic,Górnik Zabrze,0,1,1,0,1,0,0,1
Michał Pazdan,Jagiellonia,0,1,1,0,0,0,0,1
David Domgjoni,Bruk-Bet,0,1,1,0,1,0,0,1
Michał Jakóbowski,Warta Poznań,0,0,0,0,0,0,1,1
Piotr Starzyński,Wisła Kraków,0,0,0,0,0,0,1,1
Marcin Budziński,Stal Mielec,0,0,0,0,0,0,1,1
Adam Ratajczyk,Zagłębie Lubin,0,0,0,0,0,0,4,4
Patryk Plewka,Wisła Kraków,0,0,0,0,0,0,2,2
Marcin Wasielewski,Bruk-Bet,0,0,0,0,0,0,1,1
Jakub Pek,Bruk-Bet,0,0,0,0,0,0,1,1
Jakub Iskra,Śląsk Wrocław,0,0,0,0,0,0,1,1
Szymon Drewniak,Górnik Łęczna,0,0,0,0,0,0,1,1
Walerian Gwilia,Raków Częstochowa,0,0,0,0,0,0,1,1
Egzon Kryeziu,Lechia Gdańsk,0,0,0,0,0,0,2,2
Michał Nalepa I,Jagiellonia,0,0,0,0,0,0,2,2
Dante Stipica,Pogoń Szczecin,0,0,0,0,0,0,1,1
Fryderyk Gerbowski,Wisła Płock,0,0,0,0,0,0,2,2
Jakub Szymański,Górnik Zabrze,0,0,0,0,0,0,3,3
Dusan Kuciak,Lechia Gdańsk,0,0,0,0,0,0,1,1
Bartłomiej Ciepiela,Legia Warszawa,0,0,0,0,0,0,1,1
Jean Mvondo,Górnik Zabrze,0,0,0,0,0,0,1,1
Hubert Matynia,Pogoń Szczecin,0,0,0,0,0,0,1,1
Jurgen Celhaka,Legia Warszawa,0,0,0,0,0,0,2,2
Aleksandar Scekić,Zagłębie Lubin,0,0,0,0,0,0,1,1
Benedikt Zech,Pogoń Szczecin,0,0,0,0,0,0,1,1
Gerson,Górnik Łęczna,0,0,0,0,0,0,1,1
Jewhen Konoplanka,Cracovia,0,0,0,0,0,0,1,1
Dawid Kocyła,Bruk-Bet,0,0,0,0,0,0,3,3
Daniel Dziwniel,Górnik Łęczna,0,0,0,0,0,0,1,1
Rauno Sappinen,Piast Gliwice,0,0,0,0,0,0,2,2
Patrick Olsen,Śląsk Wrocław,0,0,0,0,0,0,3,3
Enis Fazlagić,Wisła Kraków,0,0,0,0,0,0,1,1
Matej Hybs,Bruk-Bet,0,0,0,0,0,0,2,2
Joel Abu Hanna,Legia Warszawa,0,0,0,0,0,0,1,1
Maciej Ambrosiewicz,Bruk-Bet,0,0,0,0,0,0,1,1
Thabo Cele,Radomiak Radom,0,0,0,0,0,0,4,4
Cheikhou Dieng,Zagłębie Lubin,0,0,0,0,0,0,2,2
Mark Tamas,Śląsk Wrocław,0,0,0,0,0,0,1,1
