ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Maciej Śliwa,Wisła Kraków,"100,0%","50,0%",-,3,2,"66,7%",1,"3,00","33,3%",1
Łukasz Garguła,Miedź Legnica,"100,0%","33,3%",-,4,2,"50,0%",0,-,"0,0%",7
Mile Savković,Jagiellonia,-,"66,7%","0,0%",4,2,"50,0%",1,"4,00","25,0%",3
Dioni,Lech Poznań,"50,0%",-,"50,0%",4,2,"50,0%",0,-,"0,0%",1
Bartłomiej Sielewski,Wisła Płock,"100,0%","0,0%","50,0%",4,2,"50,0%",1,"4,00","25,0%",4
Dawid Pakulski,Zagłębie Lubin,"0,0%","66,7%",-,4,2,"50,0%",1,"4,00","25,0%",1
Aleksandar Bjelica,Korona Kielce,"100,0%","0,0%",-,4,2,"50,0%",0,-,"0,0%",0
Patryk Szysz,Zagłębie Lubin,"50,0%",-,-,4,2,"50,0%",1,"4,00","25,0%",0
Lasza Dwali,Pogoń Szczecin,"33,3%",-,"50,0%",5,2,"40,0%",1,"5,00","20,0%",4
Patryk Plewka,Wisła Kraków,-,"40,0%",-,5,2,"40,0%",0,-,"0,0%",1
Kamil Dankowski,Śląsk Wrocław,-,"33,3%",-,6,2,"33,3%",0,-,"0,0%",3
Artur Pikk,Miedź Legnica,"25,0%","100,0%","0,0%",6,2,"33,3%",1,"6,00","16,7%",22
Mariusz Malec,Pogoń Szczecin,"100,0%","0,0%","25,0%",6,2,"33,3%",1,"6,00","16,7%",7
Mateusz Cichocki,Zagłębie Sosnowiec,"0,0%",-,"40,0%",6,2,"33,3%",0,-,"0,0%",5
Aleksandar Miljković,Miedź Legnica,-,"0,0%","66,7%",6,2,"33,3%",0,-,"0,0%",8
