ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Filip Starzyński,Zagłębie Lubin,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Patryk Tuszyński,Zagłębie Lubin,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Antoni Łukasiewicz,Arka Gdynia,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Enrique Esqueda,Arka Gdynia,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Frederik Helstrup,Arka Gdynia,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Akos Kecskes,Bruk-Bet,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Matei,Bruk-Bet,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Patrik Misak,Bruk-Bet,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Vladislavs Gutkovskis,Bruk-Bet,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Adam Deja,Cracovia,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Lennard Sowah,Cracovia,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Mateusz Wdowiak,Cracovia,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Niko Datković,Cracovia,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Szymon Drewniak,Cracovia,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Jakub Wójcicki,Cracovia/Jagiellonia,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Erik Grendel,Górnik Zabrze,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Marcin Urynowicz,Górnik Zabrze,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Cillian Sheridan,Jagiellonia,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Martin Pospisil,Jagiellonia,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Rafał Grzyb,Jagiellonia,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Goran Cvijanović,Korona Kielce,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Marcin Cebula,Korona Kielce,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Zlatan Alomerović,Korona Kielce,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Nicki Bille Nielsen,Lech Poznań,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Wołodymyr Kostewycz,Lech Poznań,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Deniss Rakels,Lech/Cracovia,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ariel Borysiuk,Lechia Gdańsk,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Grzegorz Kuświk,Lechia Gdańsk,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Marco Paixao,Lechia Gdańsk,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Mateusz Matras,Lechia Gdańsk,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
Patryk Lipski,Lechia Gdańsk,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Romario Balde,Lechia Gdańsk,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
Chris Philipps,Legia Warszawa,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Domagoj Antolić,Legia Warszawa,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Marko Vesović,Legia Warszawa,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Michał Kucharczyk,Legia Warszawa,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
William Remy,Legia Warszawa,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Dario Rugasević,Piast Gliwice,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Joel Valencia,Piast Gliwice,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Karol Angielski,Piast Gliwice,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Mak,Piast Gliwice,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
